,title,city,venue,price,genre,link,description
10,DGTL | New Delhi,bengaluru,"IG Stadium Complex, New Delhi",5000 onwards (Prices excl. of GST),MUSIC,https://insider.in/dgtl-new-delhi/event,"DGTL is a festival full of discovery, inspiration and surprise. For 7 years we have tantalised visitors and keep them hungry for more through music, art and production.
DGTL is making a sustainable impact on the global festival landscape. Always mindful of our environmental and social impact, we work with enthusiastic partners to spread our message and expand our reach. We design impressive stages within raw, industrial settings. partnering with the best vjs, we create mesmerising light effects and visuals.

Special bands will be provided for individuals above the legal drinking age.

Please note: Ticket prices are exclusive of GSTArtist Lineup"
11,Twin Strings Khabar Tour by SteppinOut - Bangalore,bengaluru,"Fandom at Gilly's Redefined, Bengaluru",799 onwards,MUSIC,https://insider.in/twin-strings-khabar-tour-by-steppinout-bangalore-oct1-2022/event,"Twin Strings is known for their tasteful renditions as well as for creating original music with a unique perspective. The multi-faceted band are music composers too and also run a music & video production house. Right from their early days of formation, they took YouTube by storm with their trending covers which have garnered millions of views. They quickly grew to occupy a place amongst India’s top music YouTube channels."
12,SteppinOut Music Festival #SMF | Bangalore,bengaluru,"Venue To Be Announced, Bangalore, Bengaluru",3999 onwards (2 Day Festival Pass),FESTIVAL,https://insider.in/steppinout-music-festival-smf-bangalore-dec10-2022/event,"Buckle up as we bring the BIGGEST music festival of the year! 50+ artists and 5 stages, the SteppinOut Music Festival will have the line-up of the most sought-after international and national artists who will bring out the best of Hip-Hop, Bollywood, Techno, EDM, and much more to the streets of Bangalore!

For two December days in Bangalore, the distinctive lineup across 4 stages promises a real-life extension of a significant audience’s most current wishlist. The first headliner for the EDM stage of the festival is the 2-time Grammy Nominated, master of gasp-worthy DJs and legendary cake throws, Steve Aoki! Who will be back bigger than ever!

The techno stage will be headlined by Solomun, the undisputed lord of Dance Music! A respected underground DJ and producer for a number of years. He plays a major role in redefining European house music with productions, remixes, and DJing by taking the very building blocks of House and deftly reconstructing them with a modern twist.

Another name to look forward to? T-R-O-Y-B-O-I. These letters are chanted by the masses at his shows, but the question is who is the artist incorporating stunning visuals, live instruments, talented dancers, and those jaw-dropping aerialists? Troy Henry, the elusive producer who has classified himself as a music manipulation specialist got his start making his beats standing up in his London studio apartment kitchen with his MacBook and a midi keyboard. 

More than 50+ artist announcements are coming your way, so buckle up and keep your eyes peeled here!"
13,The Great Indian Dandiya Festival (S3) @ The Lalit Ashok on Oct 1st (Sat) ...,bengaluru,"The Lalit Ashok, Bengaluru",499,NAVRATRI,https://insider.in/the-great-indian-dandiya-festival-s3-the-lalit-ashok-on-oct-1st-sat-navratri-2022/event,"Witness the grand experience of Dandiya festival by joining us for the Most Luxurious Navratri Event of Bangalore. Unleash yourself at The Great Indian Dandiya Festival 2022!

Your very own event, brings the essence of Navratri to Bangalore and blends it with the city’s vibe of glamour and culture! We bring the best dandiya event and add a touch of premiumness to it. 

The echo of dandiya beats, delicious food, dance, and much more awaits the audience at this mammoth festival. With a fully Grass & Lawn Ground venue promises to give you the best Navratri feels of the season. To quench the thirst we have food and beverages serving you all at the lawns and more!


Here are the reasons why I chose "" The Great Indian Dandiya festival 2022"" ?

Complimentary Dandiya Sticks
6 Hours of Non-Stop Garba/Bollywood/punjabi music
Lawn Ground Venue
The best DJ's in India to take care of the deck duties
Live Dhol and Garbha Dancers to guide you
Food/beverage stalls available at the venue 
The whole venue decorated to suit the grand occasion
Amazing photos will be captured for you
Children Friendly
Special Surprises & Giveaways 

Note: Children are allowed (Age above 12 years, ticket will be applicable)"
14,Mere Khayal Se - Amandeep Singh - Bengaluru,bengaluru,"Just BLR, Bengaluru",299 onwards,POETRY,https://insider.in/mere-khayal-se-amandeep-singh-bengaluru-sep30-2022/event,"Instructions.

Please note Rs 99/- cover charge payable at the venue fully redeemable on F&B."
15,Social x Drum and Bass India presents - #BangaloreMassive008,bengaluru,"Indiranagar Social, Bengaluru",150 onwards,PARTIES,https://insider.in/social-x-drum-and-bass-india-presents-bangaloremassive008-sep30-2022/event,"Social x Drum and Bass India presents #BangaloreMassive008
• Artist Lineup:
DnB Main Room
High Rez (UK)
The Untitled One
Benkii
Hunnit D b2b Hellkitty
3Spear
Fragment
King Sinister

Breaks Room
G.S.T
Chan
Sharma
Skye

#IndiranagarSocial
Cover charges applicable post 9 pm
This is a 21+ show. ID checks are mandatory.
We follow strict adherence to zero tolerance on drugs & Prohibited substances.Instructions"
16,"Hero ISL 2022-23, Bengaluru FC Membership (Season Ticket)",bengaluru,"Sree Kanteerava Stadium, Bengaluru",4719 - 8849,FOOTBALL,https://insider.in/hero-isl-2022-23--bengaluru-fc-membership-season-ticket/event,"ONE TICKET ALL THE WAY! Back Simon Grayson and his Bengaluru FC side as they take on a brand new Hero Indian Super League campaign as an Official Member by purchasing the BFC Official Membership Program, which comes with a season ticket, applicable for all Home Games (league phase only – 10 matches) at the Sree Kanteerava Stadium.

What's more? Choose from Gold and Silver plans to do more than just attend games. Pledge your allegiance to stand a chance to get closer to the squad with access to BTS BFC content, exclusive fan events, discount on merchandise and a whole lot more!Venue
Sree Kanteerava Stadium
2, Raja Ram Mohan Roy Rd, Nunegundlapalli, D' Souza Layout, Sampangi Rama Nagar, Bengaluru, Karnataka 560001
GET DIRECTIONS"
17,Hero Indian Super League 2022-23: Bengaluru FC vs East Bengal,bengaluru,"Sree Kanteerava Stadium, Bengaluru",99 Onwards,FOOTBALL,https://insider.in/hero-indian-super-league-2022-23-bengaluru-fc-vs-east-bengal/event,"Venue
Sree Kanteerava Stadium
2, Raja Ram Mohan Roy Rd, Nunegundlapalli, D' Souza Layout, Sampangi Rama Nagar, Bengaluru, Karnataka 560001
GET DIRECTIONSTerms & Conditions"
18,SACRED SPIRIT FESTIVAL,bengaluru,"Mehrangarh Fort Museum and Trust, Jodhpur",4500 onwards,MUSIC,https://insider.in/sacred-spirit-festival-feb10-2023/event,"The Sacred Spirit Festival (SSF) attracts top talent from India and across the world and the performances have been enthralling music aficionados over the years. The festival has completed 13 editions so far and is organised annually by the Mehrangarh Museum Trust.

With the majestic Mehrangarh Fort as the venue, the performance starts at sunrise and goes all the way past midnight. The festival is curated by none other than Alain Weber.

This festival is considered amongst the most popular cultural music events on the globe. It brings along the rich traditions of the east and the west and when mixed with the rich Indian culture, it becomes an exciting attraction for all national and international audience. The ever popular Rabbi Shergil, Kavita Seth, Kailash Kher, Sabri brothers, Ustad Shujat Khan, Rock Veda Band, Mati Bani, Char Yaar and Thagni group have captivated audience over the years. Renowned artists from Egypt, Turkey, France, Paris, Mongolia, Afghanistan, Africa, China, etc along with the traditional Rajasthani folk musicians have graced this incredible festival.


For more details, visit www.worldsacredspiritfestival.org"
19,BIGGEST DANDIYA NIGHT | Navratri 2022,bengaluru,"Gilly’s Resto Bar, Bengaluru",149 onwards,NAVRATRI,https://insider.in/biggest-dandiya-night-navratri-2022/event,"The Wait Is Over.

The Biggest Dandiya Night Is Here.

Wear Your Beautiful Attire

Let's Bring Desi Swag

To Make Your Dance On The Beats , We Have Super Talented DJ - DJ Shane


The Place Will Be Decor With Lights

Highlights

Garba

Live Dhol

Free Dandiya Sticks

Live Food Counter

Indian Decor With Lights

Live Music

Bollywood & Punjabi Music

DJ Night

Ethnic WearVenue
Gilly’s Resto Bar
91, Jyoti Nivas College Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560034, India
GET DIRECTIONS"
20,India StartUp Festival 2022,bengaluru,"Sathya Sai Grama, Bengaluru",1 onwards,EXHIBITION,https://insider.in/india-startup-festival-2022-oct1-2022/event,"The first edition of India StartUp Festival on the 1st & 2nd of October 2022 at Sathya Sai Grama, Muddenahalli, Chikkaballapur (20 mins from Bangalore International Airport) will witness the largest network of best minds from the StartUp ecosystem of India to redefine the future of the StartUp Revolution.
 This festival will have the presence and participation of Industry experts, Investors, Mentors, Speakers, New Age StartUps, Entrepreneurs, CEOs and other management team members of Fortune 500 companies towards exploring, collaborating and redefining opportunities from across the country and different parts of the globe.
 CEO Connect, Investor Connect, Enabler Connect, StartUp Expo, Panel Discussions And Awards are the key highlights of ISF 2022.

30+ Venture Capitalist
25+ Speakers
25+ CEOs and management team members of top Fortune Companies
1000+ Delegates from companies and StartUps
1000+ Global Attendees

We will have Dr. Velumani (Founder of Thyrocare), Mr. Shiv Kumar (CEO-ITC Agro), Dr. G N Rao (Founder Chairman LV Prasad Hospital), Mr. Pullela Gopichand, Dr. Chintala (Ex CMD - NABARD), Mr. GV Ravishankar (MD – Sequoia), Mr. Rajesh Raju  (MD – Kalaari Capital), Mr. Ramani Iyer (Co-Founder – Just Dial), Mr. Sateesh Andra (MD – Endiya Partners) and many more renowned delegates to join this StartUp Festival.
 Also, Sequoia, Kalaari, Catamaran and many big fund houses will be the part of this Festival.
This is going to be an excellent opportunity for selected StartUps to come and pitch their vision and connect with investors from across the world."
21,ASTRALWORX presents XXL,bengaluru,"Hyatt Centric Mg Road Bangalore, Bengaluru",299 onwards,MUSIC,https://insider.in/astralworx-presents-xxl-oct1-2022/event,"ASTRALWORX presents XXL on the 1st of October at Hyatt Centric Bangalore with 2 stages and a power packed lineup.

For more info: +91 8296556064"
22,Aloft Whitefield Dandiya Maha Utsav (Season 2) | Navratri 2022,bengaluru,"Aloft Bengaluru Whitefield, Bengaluru",499 onwards,NAVRATRI,https://insider.in/aloft-whitefield-dandiya-maha-utsav-season-2-navratri-2022/event,"To everybody's delight , We are back with the much loved and long awaited Aloft Whitefield Dandiya Maha Utsav,

Come Navratri, Bangalore erupts in a range of colors while swirling to catchy dandiya beats. There is sanctity and festivity in equal measure.

Just like our previous editions, Desi Clans imagine the traditional Navratri experience on a grandeur and more luxurious scale.Venue
Aloft Bengaluru Whitefield
17C, Sadaramangala Rd, off Whitefield Main Road, opposite Itpl, Sadara Mangala Industrial Area, Thigalarapalya, Whitefield, Bengaluru, Karnataka 560066, India
GET DIRECTIONS"
23,FanTiger Presents Nusrat India NFT Tour | Bengaluru | 6th Oct,bengaluru,"Fandom at Gilly's Redefined, Bengaluru",499,MUSIC,https://insider.in/fantiger-presents-nusrat-india-nft-tour-bengaluru-6th-oct-oct6-2022/event,"Nusrat India NFT Tour, India’s first-ever NFT-based Live Show, is being presented by FanTiger.

Naalayak will be performing live in 5 different cities as part of the Nusrat India NFT tour. FanTiger is delivering a Silver NFT of the song Nusrat (will be sent to your email by FanTiger once you purchase this ticket form Skillbox) in addition to the tickets as a special offer 

You will receive a share of ownership in the song from Nusrat Silver NFT. This implies that as the song streams on platforms like Youtube, Spotify, Gaana, etc., you become qualified to get a 0.036% royalty share and other benefits (check more details on FanTiger.com).

Bring both the tickets, The skillbox tickets as well as your NUSRAT NFT ticket issued by FanTiger, to get access to the concert.

INR 500 cover charge applicable at the gates."
24,World Food Day Fest by Olde Bangalore,bengaluru,"Olde Bangalore Resort and Wellness Center, Bengaluru",800 onwards,FOOD FEST,https://insider.in/world-food-day-oct16-2022/event,"World Food Day by Olde Bangalore is an event that brings a group of like minded people together to indulge in the art of food from around the globe. You can expect cuisines from South Africa, Vietnam, Korea, Thailand, Australia, The Americas and of course, good 'Olde' India.
The best chefs making the best food right in front of your eyes, music, beverages and a good time!

DATE & TIMINGS:

16th Oct, Sunday
12pm - 9pm

WHAT TO EXPECT:

More than 65 unique dishes!
Live BBQ and grills
Poolside venue
Delicious beverages
Unlimited liquor packages
Games for children
Music
Interactions with chefs
Free parking"
25,Hero Indian Super League 2022-23: Bengaluru FC vs ATK Mohun Bagan FC,bengaluru,"Sree Kanteerava Stadium, Bengaluru",99 Onwards,FOOTBALL,https://insider.in/hero-indian-super-league-2022-23-bengaluru-fc-vs-atk-mohun-bagan-fc/event,"Venue
Sree Kanteerava Stadium
2, Raja Ram Mohan Roy Rd, Nunegundlapalli, D' Souza Layout, Sampangi Rama Nagar, Bengaluru, Karnataka 560001
GET DIRECTIONSTerms & Conditions"
26,Karunesh Talwar - Adrak Ka Swaad | Bangalore,bengaluru,"Mother Tekla Auditorium, Bengaluru",499 onwards,COMEDY,https://insider.in/karunesh-talwar-adrak-ka-swaad-bangalore-dec04-2022/event,"Adrak Ka Swaad is Karunesh Talwar’s brand new stand up show. His idea of fun is staying indoors, watching test match cricket, consuming carbohydrates and taking naps while every other person his age wants to go out and party, drink and dance, and explore nature. In this show, he makes fun of those people for no fault of theirs whatsoever. He’s also in a long term relationship with one of those people, and they’ve moved together to Goa, the unofficial capital of partying, drinking, dancing and exploring nature. So as you can imagine, he’s deeply annoyed and is coming to your city to tell you all about it.Venue
Mother Tekla Auditorium
143, General KS Thimayya Rd, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560025
GET DIRECTIONS"
27,Hero Indian Super League 2022-23: Bengaluru FC vs Jamshedpur FC,bengaluru,"Sree Kanteerava Stadium, Bengaluru",99 Onwards,FOOTBALL,https://insider.in/hero-indian-super-league-2022-23-bengaluru-fc-vs-jamshedpur-fc/event,"Venue
Sree Kanteerava Stadium
2, Raja Ram Mohan Roy Rd, Nunegundlapalli, D' Souza Layout, Sampangi Rama Nagar, Bengaluru, Karnataka 560001
GET DIRECTIONSTerms & Conditions"
28,Barista Latté Art Throwdown,bengaluru,"ARAKU Coffee, Bengaluru",300 + taxes,UPSKILL,https://insider.in/barista-latt-art-throwdown-sep27-2022/event,"Calling out all coffee enthusiasts to get experimental and competitive with their latte art! Latte art is one of the most recognisable symbols of coffee culture. This exciting competition is open to all and is a great way to showcase your skill and latte pouring practice. 
 Here are the rules for participation:

Each competitor will be using the La Marzocco PB espresso machine.
Competition time is 5 minutes, during which they prepare as many cafe lattes as they want. They choose their best design to be evaluated by the panel of judges.
Baristas will be provided with freshly brewed Araku Espresso, single or double, their choice and as many as they want.
The baristas steam and prepare latte art and at the close of 5 minutes the barista selects which ONE Latte to submit for evaluation. 
Milk, coffee and latte mugs will be provided by ARAKU. However, the competitors may bring in their own steaming pitchers or latte cups. 
Scores are based solely on the art work design, originality, difficulty level and shade contrast. 
The Head Judge will announce the winner. The top 3 best latte artists will be rewarded with barista goodies, badges and bragging rights. 

27th September | 11.30 AM to 1.30 PM
AWSCA, 1st floor of Araku Coffee, Indiranagar, Bangalore. 

Hosted by Araku Coffee
Sponsored by AWSCA, Kaapi Machines and Brewing Gadgets. 

Please note: We don't accept refunds or cancellations. In case of emergency, kindly inform us on communications@arakuoriginals.com"
29,The Music School Bangalore - Spotlight - Live at Fandom,bengaluru,"Fandom at Gilly's Redefined, Bengaluru",Free,MUSIC,https://insider.in/the-music-school-bangalore-spotlight-live-at-fandom-sep27-2022/event,"TMSB Here Welcome music lovers to witness the talent of the young budds, our students have mastered the art of expressing themselves through music from learning the various musical concepts and applying them in the original compositions

Starting from grade exams to Undergraduate programs, our students have built a firm foundation and deepened their knowledge. Here we present the TMSB SPOTLIGHTS to showcase our budding young talents.

TUESDAY, 27th September, 7:30pm Onwards
Fandom, Koramangala

ABOUT TMSB:
The Music School Bangalore is one of the most renowned music institutes in India, Offering various Certification and Diploma level programs in Contemporary performance, Music composition, Music Production and Audio engineering.
TMSB attracts students from all parts of India,Offering them high quality music education with state of the arts facilities and highly qualified and trained faculty.TMSB is located in the heart of Bangalore City,
Giving students the opportunity to experience musical learning while being connected to the bustling music and art scene of the metropolis."
30,BERU ART FESTIVAL,bengaluru,"Beru Art Space, Bengaluru",150 onwards,FESTIVAL,https://insider.in/beru-art-festival-sep4-2022/event,"Beru Art Festival by Beru Space is is a month long event showcasing dance, music, exhibitions, panel discussions and more, come celebrate art with us"
31,Avantika - Raahi || Bangalore,bengaluru,"Raahi Neo Kitchen & Bar, Bengaluru",0 onwards,MUSIC,https://insider.in/avantika---raahi--bangalore/event,"Avantika - Raahi

Event Highlights:
Artist: Avantika
Supporting: Zufi
Genre: House, Disco, Progressive & Melodic Techno
Event date: 30-09-2022
Event venue: Raahi Neo Kitchen & Bar

Avantika after her tour to Burningman is now at playing at Raahi Neo Kitchen & Bar. Her music has an explicitly unorthodox flavor - A soulful, emotional and energetic celebration of genre-breaking sound.
From house to Disco, Progressive to Melodic techno and everything in between Avantika's music encapsulates her fearless personality behind the decks."
32,Garba and Dandiya Dance Workshops | Navratri 2022,bengaluru,"Bangalore's Creative Space, Bengaluru",399 onwards,NAVRATRI,https://insider.in/garba-and-dandiya-dance-workshops-navratri-2022/event,"Do you like dancing and specially the feeling of madness which can be felt when you are moving and laughing at the same time, i call that dance (to be yourself).
So doesn't matter which level you are at, we gonna do awesome dancing together this navratri season and learn garba and dandiya in this workshop.

Get ready to groove in your colorful ghagra this navratri festival and boys get your pretty ladies for this colourful festival.
Banjara & Gypsy presents you with the Navratri special garba workshops 2022.

Dress Code:
Comfortable clothes, you can come in skirts/dupattas/ethnic wear. Your colorful attire will light up the video.

Agenda: (Please be on time, so we can cover maximum dance and choreography)

Warm up and Quick intro
Garba and Dandiya techniques
Choreography
Anyone wants to show their dance
 Best part of dancing with her is you gonna enjoy the dance and get the feeling of being you."
33,Kathak Elements 2022,bengaluru,"Bangalore International Centre (BIC), Bengaluru",200,DANCE,https://insider.in/kathak-elements-2022-oct9-2022/event,"On October 9th, at Bangalore International Centre (BIC), Smt. Simran Godhwani and her Disciples will explore and present some unique and exhilarating compositions of Kathak featuring some master pieces of the legendary Kathak guru Late Pt. Birju Maharaj ji.

An evening showcasing intrinsic footwork, extensive pirouettes and alluring subtleties of the Lucknow gharana of Kathak. This will be accompanied by Live tabla and vocals showcasing Kathak music from Indian cinema as well.

Live Music Ensemble:
Tabla :- Muthu Kumar
Vocals :- Reena Hebbar
Choreography
Simran Godhwani"
